rank_within_group,journal_key,period,term,term_col,n_docs_group,n_docs_rest,group_doc_count,rest_doc_count,group_doc_pct,rest_doc_pct,pct_point_lift,ratio_lift,keyness_score,term_norm_for_refinement,refined_audit_category,refined_audit_reason,include_in_refined_semantic_review,refinement_source_table,manual_override,manual_override_note,term_norm_final_cleanup,final_cleanup_category,final_cleanup_reason,include_in_final_semantic_review,final_cleanup_source_table
2,ijpa,1920-1945,ernest jones,terms_bigram,686,11478,67,74,9.7668,0.6447,9.1221,15.1389,38.49057,ernest jones,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,ernest jones,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
4,ijpa,1920-1945,international psycho-analytical,terms_bigram,686,11478,55,83,8.0175,0.7231,7.2944,11.1059,29.362405,international psycho-analytical,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,international psycho-analytical,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
5,ijpa,1920-1945,psycho-analytical congress,terms_bigram,686,11478,48,30,6.9971,0.2614,6.7357,26.5699,26.214192,psycho-analytical congress,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,psycho-analytical congress,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
7,ijpa,1920-1945,pointed out,terms_bigram,686,11478,44,153,6.414,1.333,5.081,4.8439,19.341688,pointed out,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,pointed out,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
8,ijpa,1920-1945,british psycho-analytical,terms_bigram,686,11478,32,42,4.6647,0.3659,4.2988,12.7774,15.030806,british psycho-analytical,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,british psycho-analytical,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
9,ijpa,1920-1945,jones ernest,terms_bigram,686,11478,28,8,4.0816,0.0697,4.0119,56.0239,13.509369,jones ernest,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,jones ernest,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
10,ijpa,1920-1945,edward glover,terms_bigram,686,11478,28,18,4.0816,0.1568,3.9248,25.7407,13.215999,edward glover,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,edward glover,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
11,ijpa,1920-1945,zeitschrift psychoanalyse,terms_bigram,686,11478,26,2,3.7901,0.0174,3.7727,177.1141,12.434081,zeitschrift psychoanalyse,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,zeitschrift psychoanalyse,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
12,ijpa,1920-1945,internationale zeitschrift,terms_bigram,686,11478,26,5,3.7901,0.0436,3.7465,80.5064,12.347938,internationale zeitschrift,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,internationale zeitschrift,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
13,ijpa,1920-1945,freud sigmund,terms_bigram,686,11478,26,9,3.7901,0.0784,3.7117,46.609,12.233081,freud sigmund,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,freud sigmund,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
14,ijpa,1920-1945,oedipus complex,terms_bigram,686,11478,34,207,4.9563,1.8035,3.1528,2.7781,11.209366,oedipus complex,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,oedipus complex,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
