journal_key,semantic_family,n_articles,n_family_hits,n_articles_group,pct_articles_group
ijpa,drive_conflict_defense,2280,2280,5423,42.0431
ijpa,dream_fantasy_unconscious,2132,2132,5423,39.314
ijpa,ego_self_narcissism,2230,2230,5423,41.1212
ijpa,object_relations,1938,1938,5423,35.7367
ijpa,kleinian_bionian,462,462,5423,8.5193
ijpa,winnicottian_environment_holding,1135,1135,5423,20.9294
ijpa,attachment_development_infant,2206,2206,5423,40.6786
ijpa,transference_countertransference,1111,1111,5423,20.4868
ijpa,technique_interpretation_process,1584,1584,5423,29.2089
ijpa,relational_intersubjective_field,1656,1656,5423,30.5366
ijpa,trauma_dissociation_affect_regulation,1779,1779,5423,32.8047
ijpa,psychosis_borderline_primitive_states,704,704,5423,12.9817
ijpa,body_sexuality_gender,1217,1217,5423,22.4415
ijpa,language_narrative_symbolization,1465,1465,5423,27.0146
ijpa,culture_race_social_ethics,1061,1061,5423,19.5648
ijpa,empirical_research_measurement,674,674,5423,12.4285
ijpa,history_theory_schools,2045,2045,5423,37.7098
japa,drive_conflict_defense,1110,1110,2924,37.9617
japa,dream_fantasy_unconscious,934,934,2924,31.9425
japa,ego_self_narcissism,1154,1154,2924,39.4665
japa,object_relations,708,708,2924,24.2134
japa,kleinian_bionian,57,57,2924,1.9494
japa,winnicottian_environment_holding,460,460,2924,15.7319
japa,attachment_development_infant,1079,1079,2924,36.9015
japa,transference_countertransference,523,523,2924,17.8865
japa,technique_interpretation_process,765,765,2924,26.1628
japa,relational_intersubjective_field,817,817,2924,27.9412
japa,trauma_dissociation_affect_regulation,846,846,2924,28.933
japa,psychosis_borderline_primitive_states,216,216,2924,7.3871
japa,body_sexuality_gender,531,531,2924,18.1601
japa,language_narrative_symbolization,651,651,2924,22.264
japa,culture_race_social_ethics,516,516,2924,17.6471
japa,empirical_research_measurement,474,474,2924,16.2107
japa,history_theory_schools,876,876,2924,29.959
psychoanalytic_dialogues,drive_conflict_defense,295,295,1578,18.6946
psychoanalytic_dialogues,dream_fantasy_unconscious,371,371,1578,23.5108
psychoanalytic_dialogues,ego_self_narcissism,748,748,1578,47.4018
psychoanalytic_dialogues,object_relations,338,338,1578,21.4195
psychoanalytic_dialogues,kleinian_bionian,86,86,1578,5.4499
psychoanalytic_dialogues,winnicottian_environment_holding,205,205,1578,12.9911
psychoanalytic_dialogues,attachment_development_infant,550,550,1578,34.8542
psychoanalytic_dialogues,transference_countertransference,313,313,1578,19.8352
psychoanalytic_dialogues,technique_interpretation_process,318,318,1578,20.1521
psychoanalytic_dialogues,relational_intersubjective_field,1072,1072,1578,67.9341
psychoanalytic_dialogues,trauma_dissociation_affect_regulation,648,648,1578,41.0646
psychoanalytic_dialogues,psychosis_borderline_primitive_states,49,49,1578,3.1052
psychoanalytic_dialogues,body_sexuality_gender,399,399,1578,25.2852
psychoanalytic_dialogues,language_narrative_symbolization,384,384,1578,24.3346
psychoanalytic_dialogues,culture_race_social_ethics,605,605,1578,38.3397
psychoanalytic_dialogues,empirical_research_measurement,93,93,1578,5.8935
psychoanalytic_dialogues,history_theory_schools,186,186,1578,11.7871
psychoanalytic_psychology,drive_conflict_defense,389,389,1369,28.4149
psychoanalytic_psychology,dream_fantasy_unconscious,275,275,1369,20.0877
psychoanalytic_psychology,ego_self_narcissism,568,568,1369,41.4901
psychoanalytic_psychology,object_relations,287,287,1369,20.9642
psychoanalytic_psychology,kleinian_bionian,20,20,1369,1.4609
psychoanalytic_psychology,winnicottian_environment_holding,168,168,1369,12.2717
psychoanalytic_psychology,attachment_development_infant,485,485,1369,35.4273
psychoanalytic_psychology,transference_countertransference,223,223,1369,16.2893
psychoanalytic_psychology,technique_interpretation_process,263,263,1369,19.2111
psychoanalytic_psychology,relational_intersubjective_field,574,574,1369,41.9284
psychoanalytic_psychology,trauma_dissociation_affect_regulation,470,470,1369,34.3316
psychoanalytic_psychology,psychosis_borderline_primitive_states,91,91,1369,6.6472
psychoanalytic_psychology,body_sexuality_gender,236,236,1369,17.2389
psychoanalytic_psychology,language_narrative_symbolization,237,237,1369,17.3119
psychoanalytic_psychology,culture_race_social_ethics,275,275,1369,20.0877
psychoanalytic_psychology,empirical_research_measurement,335,335,1369,24.4704
psychoanalytic_psychology,history_theory_schools,254,254,1369,18.5537
psychoanalytic_psychotherapy,drive_conflict_defense,194,194,870,22.2989
psychoanalytic_psychotherapy,dream_fantasy_unconscious,132,132,870,15.1724
psychoanalytic_psychotherapy,ego_self_narcissism,212,212,870,24.3678
psychoanalytic_psychotherapy,object_relations,191,191,870,21.954
psychoanalytic_psychotherapy,kleinian_bionian,68,68,870,7.8161
psychoanalytic_psychotherapy,winnicottian_environment_holding,88,88,870,10.1149
psychoanalytic_psychotherapy,attachment_development_infant,310,310,870,35.6322
psychoanalytic_psychotherapy,transference_countertransference,128,128,870,14.7126
psychoanalytic_psychotherapy,technique_interpretation_process,208,208,870,23.908
psychoanalytic_psychotherapy,relational_intersubjective_field,290,290,870,33.3333
psychoanalytic_psychotherapy,trauma_dissociation_affect_regulation,293,293,870,33.6782
psychoanalytic_psychotherapy,psychosis_borderline_primitive_states,136,136,870,15.6322
psychoanalytic_psychotherapy,body_sexuality_gender,120,120,870,13.7931
psychoanalytic_psychotherapy,language_narrative_symbolization,101,101,870,11.6092
psychoanalytic_psychotherapy,culture_race_social_ethics,222,222,870,25.5172
psychoanalytic_psychotherapy,empirical_research_measurement,227,227,870,26.092
psychoanalytic_psychotherapy,history_theory_schools,75,75,870,8.6207
