semantic_family,n_articles,n_family_hits,total_terms_hit,pct_articles
drive_conflict_defense,4268,4268,8948,35.0871
dream_fantasy_unconscious,3844,3844,6176,31.6014
ego_self_narcissism,4910,4910,7993,40.365
object_relations,3462,3462,7330,28.461
kleinian_bionian,693,693,1056,5.6971
winnicottian_environment_holding,2056,2056,2324,16.9023
attachment_development_infant,4630,4630,8007,38.0631
transference_countertransference,2298,2298,3717,18.8918
technique_interpretation_process,3138,3138,4351,25.7974
relational_intersubjective_field,4409,4409,7399,36.2463
trauma_dissociation_affect_regulation,4036,4036,5592,33.1799
psychosis_borderline_primitive_states,1196,1196,1521,9.8323
body_sexuality_gender,2503,2503,4049,20.5771
language_narrative_symbolization,2838,2838,3505,23.3311
culture_race_social_ethics,2667,2667,4128,21.9254
empirical_research_measurement,1803,1803,2756,14.8224
history_theory_schools,3436,3436,6259,28.2473
